1210;;1454
1211;;1006
1211;;1318
1211;;1602
1211;;1698
1211;;1897
1211;;1938
1211;;1951
1211;;294
1211;;484
1211;;504
1211;;505
1211;;560
1211;;622
1211;;706
1211;;712
1211;;790
1212;;1354
1212;;1474
1212;;1749
1212;;901
1213;;1584
1213;;1857
1214;;355
1215;;1027
1216;;899
1217;;1710
1217;;1941
1217;;2000
1217;;525
1217;;539
1218;;1857
1219;;1510
1219;;1996
1219;;2098
1219;;2122
1219;;747
1219;;748
1219;;778
1219;;779
122;;1030
122;;943
1220;;177
1221;;1645
1222;;503
1223;;2027
1223;;876
1224;;1667
1225;;231
1226;;1842
1226;;676
1227;;1875
1227;;26
1228;;818
1229;;1132
123;;1148
123;;143
1230;;446
1231;;468
1232;;1137
1232;;641
1232;;642
1232;;643
1233;;463
1234;;921
1235;;383
1236;;1790
1236;;949
1237;;1236
1237;;583
1237;;761
1238;;1802
1239;;85
124;;1384
124;;256
1240;;1150
1240;;1866
1240;;346
1240;;806
1241;;1032
1242;;209
1243;;1149
1244;;644
1245;;1143
1245;;1483
1246;;1516
1247;;767
1248;;1258
1249;;1173
1249;;1672
1249;;253
1249;;935
125;;1349
125;;154
125;;1687
125;;171
125;;1759
125;;1849
125;;695
1250;;767
1251;;1082
1252;;390
1252;;736
1252;;775
1253;;52
1254;;1775
1254;;534
1255;;113
1256;;1079
1256;;2118
1256;;301
1256;;423
1256;;441
1256;;608
1256;;694
1257;;118
1257;;1559
1257;;397
1257;;421
1257;;709
1258;;139
1259;;1494
1259;;337
126;;1885
1260;;1387
1261;;1394
1262;;1780
1263;;1785
1264;;1580
1265;;1574
1266;;1564
1266;;2077
1266;;454
1266;;992
1267;;44
1268;;747
1268;;779
1269;;18
127;;1768
1270;;747
1270;;748
1271;;1182
1272;;636
1273;;1709
1274;;1502
1274;;315
1275;;330
1276;;1763
1277;;1696
1278;;768
1279;;698
128;;1786
1280;;1665
1281;;1102
1281;;1167
1281;;1373
1281;;1673
1281;;1958
1281;;247
1281;;257
1281;;348
1281;;427
1281;;509
1281;;755
1281;;823
1281;;853
1282;;1372
1283;;524
1284;;1870
1285;;1675
1286;;1456
1286;;1528
1287;;196
1288;;1390
1289;;1209
129;;1042
129;;412
1290;;367
1291;;1863
1291;;225
1292;;106
1292;;124
1292;;1693
1292;;715
1293;;1135
1294;;298
1295;;5
1296;;1518
1297;;492
1297;;820
1298;;1413
1298;;313
1299;;1519
13;;1014
13;;1047
13;;1057
13;;1108
13;;125
13;;1264
13;;129
13;;1472
13;;1505
13;;2031
13;;2091
13;;33
13;;450
13;;451
13;;481
13;;483
13;;529
13;;718
13;;855
130;;1164
1300;;759
1301;;1906
1302;;1949
1302;;827
1302;;828
1303;;437
1304;;1491
1305;;1322
1305;;1325
1305;;1353
1305;;1355
1305;;1474
1305;;148
1305;;1481
1305;;1729
1305;;1749
1305;;1775
1305;;1813
1305;;1886
1305;;306
1305;;351
1305;;510
1305;;534
1305;;780
1305;;958
1306;;611
1306;;612
1307;;1889
1308;;1358
1309;;1455
131;;1304
131;;936
1310;;555
1310;;556
1311;;1102
1311;;1144
1311;;1506
1311;;1812
1311;;689
1311;;705
1311;;823
1311;;920
1312;;474
1313;;1383
1314;;1798
1314;;1895
1315;;1513
1316;;292
1317;;1349
1318;;1750
1319;;326
1320;;936
1321;;1003
1321;;1715
1322;;1881
1323;;842
1324;;19
1324;;721
1325;;1284
1325;;352
1326;;1725
1327;;107
1328;;348
1329;;1446
133;;767
1330;;1487
1331;;250
1332;;230
1332;;350
1333;;1447
1334;;1545
1334;;1749
1334;;1886
1334;;351
1334;;574
1335;;1741
1336;;644
1337;;1015
1338;;1707
1339;;967
134;;103
1340;;1459
1341;;1535
1342;;1032
1343;;206
