 512, Ekhad, Shalosh B.
 513, El Bachraoui, Mohamed
 514, El Turkey, Houssein
 515, Eldredge, Michael G.
 516, ElDin, Ramy F. Taki
 517, Elia, Marcus
 518, Eliahou, Shalom
 519, Elias, Yara
 520, Elizeche, Edgar Federico
 521, Elkhiri, Laid
 522, Ella, Sophia
 523, Elledge, Shawn
 524, Elliott, Jesse
 525, Elsner, Carsten
 526, Emadian, Elliot R.
 527, Emanuel, Paul Robert
 528, Emme, Jordan
 529, Emory, Melissa
 530, Endrullis, Jörg
 531, Engberg, Zebediah
 532, Engbers, John
 533, Epstein, Alyssa
 534, Erban, Radek
 535, Erdahl, Robert
 536, Erde, Joshua
 537, Erdős, Paul
 538, Ericksen, Larry
 539, Eriksson, Kimmo
 540, li> Ernst, Dana C.
 541, Esmaeili, Morteza
 542, Eustis, Alex
 543, Evans, Anthony B.
 544, Evans, C. D. A.
 545, Evans, Ron
 546, Evans, Tyler J.
 547, Everett, William B.
 548, Fallon, Kean
 549, Fan, Kai (Steve)
 550, Fan, Yushuang
 551, Fang, Jin-Hui
 552, Fares, Youssef
 553, Farhadian, Reza
 554, Farhangi, Sohail
 555, Farhi, Bakir
 556, Farrokhi D. G., Mohammad
 557, Faure, Henri
 558, Faye, Bernadette
 559, Fel, Leonid G.
 560, Fellman, Tasha
 561, Fellman, Todd
 562, Feng, Cong-Jiao
 563, Feng, Li
 564, Ferland, Matthew
 565, Fernando, Neranga
 566, Ferrari, Luca
 567, Ferrari, Matteo
 568, Fickes, Grant
 569, Fidkowski, Lukasz M.
 570, Filaseta, Michael
 571, Filipovski, Slobodan
 572, Finbow, S.
 573, Finch(-Smith), Carrie
 574, Finch, Steven R.
 575, Finch-Smith, Carrie
 576, Fink, Alex
 577, Firicel, Alina
 578, Fish, Sara
 579, Fisher, Michael
 580, Fitzgerald, Robert W.
 581, Fletcher, Peter
 582, Flórez, Jorge
 583, Flórez, Rigoberto
 584, Flórez, Rigoberto
 585, Flori, Jean-Pierre
 586, Florian, Josef
 587, Flowers, Timothy B.
 588, Foo, Timothy
 589, Ford, Kevin
 590, Fox, Jacob
 591, Fox, N. Bradley
 592, Fox, Nathan
 593, Fraenkel, Aviezri S.
 594, France, M. Mendès
 595, Francis, Forrest J.
 596, Franke, Johann
 597, Franzone, Katherine
 598, Fraser, William
 599, Freedman, Allen R.
 600, Freeman, John M.
 601, Fried, Katalin
 602, Friedman, Eric J.
 603, Freiling, Chris
 604, Freiman, Gregory A.
 605, Freitas, Gérsica
 606, Friedlander, John B.
 607, Frigeri, Achille
 608, Frontczak, Robert
 609, Frougny, Christiane
 610, Fu, Shishuo
 611, Fuchs, Clemens
 612, Fujisawa, Yusuke
 613, Fukui, Masanori
 614, Gaebler, David
 615, Gaebler, Robert
 616, Gabor, Zachary
 617, Gaede, Tao
 618, Gaiser, Collier
